sampleId	taxNameSpecies	nReads	covPosRelEntropy1000	Database	Authenticated	Sample
INDIV84_SENGELI_1974_Dry2014	B. ailuri	17794	0.4823468448	Raw	FP	INDIV84
INDIV277_HUKAMAKO_2249_Dry2014	B. ailuri	4207	0.5357562948	Raw	FP	INDIV277
INDIV278_HUKAMAKO_2253_Dry2014	B. ailuri	4140	0.5608099651	Raw	FP	INDIV278
INDIV53_HUKAMAKO_2213_Dry2014	B. ailuri	8957	0.4424369759	Raw	FP	INDIV53
INDIV157_HUKAMAKO_2217_Dry2014	B. ailuri	6808	0.4443188174	Raw	FP	INDIV157
INDIV232_ENDAMANGA_SCHOOL_1731_Dry2014	B. ailuri	13965	0.4656804365	Raw	FP	INDIV232
INDIV239_ENDAMANGA_SCHOOL_1738_Dry2014	B. ailuri	7819	0.4625341802	Raw	FP	INDIV239
INDIV240_ENDAMANGA_SCHOOL_1739_Dry2014	B. ailuri	19045	0.4623847583	Raw	FP	INDIV240
INDIV241_ENDAMANGA_SCHOOL_1740_Dry2014	B. ailuri	16469	0.4717643157	Raw	FP	INDIV241
INDIV233_ENDAMANGA_SCHOOL_1732_Dry2014	B. ailuri	14072	0.4733395474	Raw	FP	INDIV233
INDIV234_ENDAMANGA_SCHOOL_1733_Dry2014	B. ailuri	10237	0.4933389761	Raw	FP	INDIV234
INDIV235_ENDAMANGA_SCHOOL_1734_Dry2014	B. ailuri	15633	0.5065567317	Raw	FP	INDIV235
INDIV236_ENDAMANGA_SCHOOL_1735_Dry2014	B. ailuri	11487	0.4748838081	Raw	FP	INDIV236
INDIV296_SENGELI_1976_Dry2014	B. ailuri	10612	0.503479245	Raw	FP	INDIV296
INDIV97_HUKAMAKO_2273_Dry2014	B. ailuri	22149	0.4862012465	Raw	FP	INDIV97
INDIV188_HUKAMAKO_1999_Dry2014	B. ailuri	5491	0.5621597664	Raw	FP	INDIV188
INDIV197_HUKAMAKO_2277_Dry2014	B. ailuri	12513	0.4834505544	Raw	FP	INDIV197
INDIV162_HUKAMAKO_2281_Dry2014	B. ailuri	2660	0.5685426116	Raw	FP	INDIV162
INDIV279_HUKAMAKO_2257_Dry2014	B. ailuri	3096	0.582702637	Raw	FP	INDIV279
INDIV379_HUKAMAKO_2297_Dry2014	B. ailuri	5420	0.5055697535	Raw	FP	INDIV379
INDIV280_HUKAMAKO_2261_Dry2014	B. ailuri	2017	0.455700172	Raw	FP	INDIV280
INDIV243_MWAMUDU_1742_Dry2014	B. ailuri	33458	0.5134150624	Raw	FP	INDIV243
INDIV281_BENJA_1769_Dry2014	B. ailuri	15029	0.5144929763	Raw	FP	INDIV281
INDIV244_MWAMUDU_1743_Dry2014	B. ailuri	38515	0.5332675226	Raw	FP	INDIV244
INDIV329_HUKAMAKO_2310_Dry2014	B. ailuri	2371	0.5766052017	Raw	FP	INDIV329
INDIV185_HUKAMAKO_2311_Dry2014	B. ailuri	2273	0.5800354947	Raw	FP	INDIV185
INDIV330_HUKAMAKO_2314_Dry2014	B. ailuri	4211	0.5940608509	Raw	FP	INDIV330
INDIV325_HUKAMAKO_2306_Dry2014	B. ailuri	3257	0.5059430088	Raw	FP	INDIV325
INDIV333_HUKAMAKO_2316_Dry2014	B. ailuri	5702	0.583572135	Raw	FP	INDIV333
INDIV327_HUKAMAKO_2308_Dry2014	B. ailuri	5124	0.5304216934	Raw	FP	INDIV327
INDIV78_BENJA_1770_Dry2014	B. ailuri	12893	0.4588821216	Raw	FP	INDIV78
INDIV34_GIDAMILANDA_1914_Dry2014	B. ailuri	17535	0.4462519646	Raw	FP	INDIV34
INDIV288_EZEKILI_1776_Dry2014	B. ailuri	11135	0.4944760596	Raw	FP	INDIV288
INDIV35_GIDAMILANDA_1915_Dry2014	B. ailuri	16708	0.4891064398	Raw	FP	INDIV35
INDIV290_EZEKILI_1778_Dry2014	B. ailuri	13523	0.4892806098	Raw	FP	INDIV290
INDIV291_EZEKILI_1779_Dry2014	B. ailuri	3408	0.6118915378	Raw	FP	INDIV291
INDIV248_EZEKILI_1780_Dry2014	B. ailuri	5658	0.4620743909	Raw	FP	INDIV248
INDIV295_GIDAMILANDA_1919_Dry2014	B. ailuri	9088	0.4582546844	Raw	FP	INDIV295
INDIV296_GIDAMILANDA_1920_Dry2014	B. ailuri	27928	0.4565947228	Raw	FP	INDIV296
INDIV285_EZEKILI_1773_Dry2014	B. ailuri	14135	0.4649773224	Raw	FP	INDIV285
INDIV288_DOMANGA_2327_Dry2014	B. ailuri	2942	0.4955052982	Raw	FP	INDIV288
INDIV93_HUKAMAKO_2317_Dry2014	B. ailuri	9638	0.4632675518	Raw	FP	INDIV93
INDIV379_HUKAMAKO_2330_Dry2014	B. ailuri	6132	0.480135001	Raw	FP	INDIV379
INDIV89_HUKAMAKO_2320_Dry2014	B. ailuri	10766	0.4704890157	Raw	FP	INDIV89
INDIV248_EZEKILI_1797_Dry2014	B. ailuri	10242	0.4711061923	Raw	FP	INDIV248
INDIV248_EZEKILI_1798_Dry2014	B. ailuri	7411	0.4761504566	Raw	FP	INDIV248
INDIV297_GIDAMILANDA_1921_Dry2014	B. ailuri	8895	0.4737585204	Raw	FP	INDIV297
INDIV36_GIDAMILANDA_1922_Dry2014	B. ailuri	4420	0.4185976556	Raw	FP	INDIV36
INDIV269_HUKAMAKO_2337_Dry2014	B. ailuri	6607	0.5182326271	Raw	FP	INDIV269
INDIV273_HUKAMAKO_2338_Dry2014	B. ailuri	2893	0.5602676888	Raw	FP	INDIV273
INDIV348_SENGELI_2137_Dry2014	B. ailuri	7074	0.4441671159	Raw	FP	INDIV348
INDIV277_HUKAMAKO_2340_Dry2014	B. ailuri	5130	0.5155113968	Raw	FP	INDIV277
INDIV349_SENGELI_2138_Dry2014	B. ailuri	6158	0.4144956576	Raw	FP	INDIV349
INDIV278_HUKAMAKO_2341_Dry2014	B. ailuri	2292	0.5159490001	Raw	FP	INDIV278
INDIV279_HUKAMAKO_2342_Dry2014	B. ailuri	2483	0.5335237212	Raw	FP	INDIV279
INDIV268_HUKAMAKO_2332_Dry2014	B. ailuri	5849	0.5225584563	Raw	FP	INDIV268
INDIV371_HUKAMAKO_2333_Dry2014	B. ailuri	5463	0.4669413044	Raw	FP	INDIV371
INDIV250_EZEKILI_1802_Dry2014	B. ailuri	59332	0.5244347617	Raw	FP	INDIV250
INDIV306_GIDAMILANDA_1933_Dry2014	B. ailuri	14653	0.4643073359	Raw	FP	INDIV306
INDIV308_GIDAMILANDA_1935_Dry2014	B. ailuri	6793	0.3701306353	Raw	FP	INDIV308
INDIV253_MSAFIRI_1813_Dry2014	B. ailuri	90427	0.4549824916	Raw	FP	INDIV253
INDIV309_GIDAMILANDA_1936_Dry2014	B. ailuri	2585	0.3825501691	Raw	FP	INDIV309
INDIV325_HUKAMAKO_2348_Dry2014	B. ailuri	3391	0.5360029255	Raw	FP	INDIV325
INDIV275_HUKAMAKO_2352_Dry2014	B. ailuri	3874	0.5232643624	Raw	FP	INDIV275
INDIV360_SENGELI_2149_Dry2014	B. ailuri	42673	0.5231794038	Raw	FP	INDIV360
INDIV280_HUKAMAKO_2343_Dry2014	B. ailuri	2963	0.550835903	Raw	FP	INDIV280
